Count,avg,ROI px,R1-R2,G1-G2,R1-G1,R1-G2,R2-G1,R2-G2,PCCcrtion,PCCmean,PCCcorrect
1,1,775,0.93257,0.87489,0.93783,0.88946,0.93368,0.86698,1.10709,0.90699,1.00411
2,1,775,0.93634,0.85534,0.86698,0.85904,0.86158,0.90079,1.11741,0.8721,0.9745
3,1,775,0.93328,0.91197,0.90079,0.87792,0.91432,0.92086,1.08394,0.90347,0.97931
4,1,775,0.90404,0.86993,0.92086,0.88159,0.87249,0.85822,1.12763,0.88329,0.99602
5,1,775,0.91755,0.84241,0.85822,0.91306,0.87847,0.92356,1.13743,0.89333,1.0161
6,1,775,0.96204,0.89916,0.92356,0.90461,0.90399,0.90507,1.07519,0.90931,0.97768
7,1,775,0.91776,0.89647,0.90507,0.85471,0.89708,0.89679,1.10247,0.88841,0.97945
8,1,775,0.93112,0.91181,0.89679,0.90713,0.88277,0.9024,1.08529,0.89727,0.9738
9,1,775,0.93754,0.90696,0.9024,0.88415,0.86688,0.90801,1.08446,0.89036,0.96556
10,1,775,0.95603,0.89374,0.90801,0.87612,0.89274,0.83325,1.08183,0.87753,0.94934
11,1,775,0.937,0.90459,0.83325,0.88097,0.84696,0.89157,1.08619,0.86319,0.93758
12,1,775,0.9255,0.91868,0.89157,0.86833,0.88614,0.88209,1.0845,0.88203,0.95656
13,1,775,0.94108,0.90264,0.88209,0.88975,0.90529,0.87362,1.085,0.88769,0.96314
14,1,775,0.93478,0.86112,0.87362,0.89046,0.87298,0.90375,1.11458,0.8852,0.98664
15,1,775,0.94244,0.90698,0.90375,0.91387,0.8938,0.93472,1.08162,0.91153,0.98594
16,1,775,0.95352,0.92016,0.93472,0.92337,0.94334,0.9084,1.06758,0.92746,0.99014
17,1,775,0.94482,0.90732,0.9084,0.90349,0.92465,0.908,1.08005,0.91114,0.98407
18,1,775,0.94495,0.90229,0.908,0.89856,0.90016,0.88877,1.08299,0.89887,0.97347
19,1,775,0.89858,0.87138,0.88877,0.87033,0.91785,0.89029,1.1301,0.89181,1.00784
20,1,775,0.92782,0.80851,0.89029,0.84893,0.918,0.87202,1.15459,0.88231,1.0187
21,1,775,0.95102,0.79218,0.87202,0.86264,0.87687,0.84631,1.1521,0.86446,0.99595
22,1,775,0.9525,0.77465,0.84631,0.87991,0.78566,0.85605,1.16417,0.84198,0.98021
23,1,775,0.95161,0.81395,0.85605,0.87559,0.87945,0.86737,1.13624,0.86961,0.98809
24,1,775,0.91873,0.87082,0.86737,0.90322,0.86729,0.90183,1.118,0.88493,0.98935
25,1,775,0.94296,0.86975,0.90183,0.88993,0.87264,0.89407,1.10422,0.88962,0.98233
26,1,775,0.94516,0.8529,0.89407,0.89701,0.89089,0.86851,1.11378,0.88762,0.98861
27,1,775,0.92561,0.84077,0.86851,0.88947,0.87316,0.87181,1.13357,0.87574,0.99271
28,1,775,0.92555,0.87583,0.87181,0.85797,0.87647,0.87677,1.11068,0.87076,0.96713
29,1,775,0.91678,0.88084,0.87677,0.86327,0.85052,0.90864,1.1128,0.8748,0.97348
30,1,775,0.92209,0.90176,0.90864,0.91376,0.89681,0.90822,1.09665,0.90686,0.9945
31,1,775,0.91559,0.88647,0.90822,0.91607,0.86621,0.86215,1.10999,0.88816,0.98585
32,2,775,0.95262,0.94187,0.94035,0.90317,0.93947,0.91688,1.05571,0.92497,0.9765
33,2,775,0.95252,0.92208,0.91688,0.91291,0.89359,0.89009,1.06703,0.90337,0.96392
34,2,775,0.92728,0.91374,0.89009,0.91381,0.92067,0.94803,1.08638,0.91815,0.99746
35,2,775,0.93764,0.92377,0.94803,0.92512,0.91673,0.92257,1.07449,0.92812,0.99725
36,2,775,0.95553,0.93252,0.92257,0.89836,0.92421,0.93568,1.05937,0.92021,0.97484
37,2,775,0.96021,0.93935,0.93568,0.91793,0.91601,0.9335,1.05294,0.92578,0.97479
38,2,775,0.95108,0.9511,0.9335,0.91058,0.90776,0.90297,1.05143,0.9137,0.96069
39,2,775,0.94362,0.93876,0.90297,0.90655,0.89055,0.88545,1.06249,0.89638,0.9524
40,2,775,0.95963,0.93482,0.88545,0.90893,0.8894,0.91,1.05581,0.89844,0.94858
41,2,775,0.95313,0.94605,0.91,0.9004,0.90672,0.88409,1.05309,0.9003,0.9481
42,2,775,0.94671,0.94847,0.88409,0.90215,0.91433,0.92217,1.05531,0.90568,0.95578
43,2,775,0.93373,0.9318,0.92217,0.91299,0.89885,0.90821,1.07208,0.91055,0.97619
44,2,775,0.95424,0.92742,0.90821,0.9192,0.91766,0.93658,1.063,0.92041,0.9784
45,2,775,0.9536,0.92918,0.93658,0.93321,0.93051,0.92852,1.06234,0.93221,0.99032
46,2,775,0.94832,0.93586,0.92852,0.9345,0.92056,0.94361,1.06149,0.9318,0.98909
47,2,775,0.96571,0.93951,0.94361,0.93306,0.94346,0.92753,1.04985,0.93692,0.98362
48,2,775,0.94832,0.93377,0.92753,0.92431,0.93314,0.91637,1.06268,0.92534,0.98334
49,2,775,0.93157,0.9033,0.91637,0.89383,0.91823,0.88872,1.09012,0.90429,0.98579
50,2,775,0.94329,0.8694,0.88872,0.92486,0.91384,0.88,1.10425,0.90185,0.99587
51,2,775,0.95693,0.82659,0.88,0.87196,0.88858,0.88878,1.12439,0.88233,0.99208
52,2,775,0.95967,0.84637,0.88878,0.88081,0.89309,0.87004,1.10958,0.88318,0.97996
53,2,775,0.95847,0.86404,0.87004,0.93185,0.86248,0.90469,1.09886,0.89226,0.98047
54,2,775,0.95224,0.90439,0.90469,0.91195,0.92503,0.92773,1.07758,0.91735,0.98852
55,2,775,0.94695,0.92835,0.92773,0.93427,0.90493,0.91365,1.06655,0.92015,0.98138
56,2,775,0.94333,0.93624,0.91365,0.9285,0.92909,0.91774,1.06408,0.92224,0.98134
57,2,775,0.9428,0.91136,0.91774,0.91129,0.93073,0.89258,1.07881,0.91309,0.98505
58,2,775,0.93526,0.89054,0.89258,0.90563,0.87753,0.89486,1.09574,0.89265,0.97811
59,2,775,0.93182,0.92256,0.89486,0.89293,0.8943,0.92286,1.07854,0.90124,0.97203
60,2,775,0.93196,0.93977,0.92286,0.90352,0.89512,0.90918,1.06854,0.90767,0.96988
61,3,775,0.95986,0.93737,0.93923,0.93207,0.94467,0.94199,1.05424,0.93949,0.99045
62,3,775,0.96131,0.93153,0.94199,0.9362,0.92716,0.93035,1.05675,0.93392,0.98692
63,3,775,0.95974,0.94771,0.93035,0.92028,0.93984,0.95276,1.04854,0.93581,0.98124
64,3,775,0.97317,0.94048,0.95276,0.93585,0.92751,0.94013,1.04528,0.93906,0.98158
65,3,775,0.97328,0.9481,0.94013,0.93093,0.92294,0.93592,1.04101,0.93248,0.97072
66,3,775,0.96586,0.9505,0.93592,0.91748,0.92067,0.92349,1.04368,0.92439,0.96476
67,3,775,0.95701,0.95724,0.92349,0.9128,0.92335,0.91519,1.04479,0.9187,0.95986
68,3,775,0.9615,0.95074,0.91519,0.9179,0.90977,0.90799,1.04591,0.91272,0.95462
69,3,775,0.97269,0.95384,0.90799,0.92884,0.92503,0.93505,1.03818,0.92423,0.95952
70,3,775,0.95829,0.94387,0.93505,0.92772,0.91664,0.90995,1.05147,0.92234,0.96981
71,3,775,0.95835,0.94791,0.90995,0.91968,0.93187,0.95388,1.04919,0.92884,0.97453
72,3,775,0.95898,0.95041,0.95388,0.93864,0.9311,0.93704,1.04746,0.94016,0.98479
73,3,775,0.96778,0.93932,0.93704,0.943,0.93774,0.94505,1.04883,0.94071,0.98664
74,3,775,0.96369,0.94566,0.94505,0.94452,0.94679,0.94258,1.04753,0.94474,0.98963
75,3,775,0.95822,0.94867,0.94258,0.93914,0.93781,0.94721,1.04884,0.94169,0.98768
76,3,775,0.96427,0.92392,0.94721,0.92474,0.94871,0.91899,1.05946,0.93491,0.9905
77,3,775,0.96169,0.91494,0.91899,0.93514,0.92763,0.9122,1.06607,0.92349,0.9845
78,3,775,0.96306,0.8865,0.9122,0.90765,0.91889,0.90843,1.08227,0.91179,0.9868
79,3,775,0.96206,0.8876,0.90843,0.92939,0.92218,0.91021,1.08216,0.91755,0.99293
80,3,775,0.97422,0.8839,0.91021,0.9224,0.91094,0.91442,1.07763,0.91449,0.98549
81,3,775,0.96905,0.89158,0.91442,0.91985,0.92695,0.91994,1.07583,0.92029,0.99008
82,3,775,0.96811,0.91135,0.91994,0.94594,0.91132,0.92594,1.06462,0.92578,0.98561
83,3,775,0.96585,0.92409,0.92594,0.93869,0.94879,0.92438,1.05849,0.93445,0.98911
84,3,775,0.9553,0.93675,0.92438,0.94197,0.92918,0.92445,1.0571,0.92999,0.9831
85,3,775,0.94894,0.94087,0.92445,0.93507,0.93581,0.93398,1.05831,0.93233,0.9867
86,3,775,0.954,0.93334,0.93398,0.92993,0.93675,0.93479,1.05976,0.93386,0.98966
87,3,775,0.94723,0.9335,0.93479,0.93115,0.90313,0.92538,1.06345,0.92361,0.98221
88,4,775,0.96672,0.9519,0.95391,0.93215,0.95003,0.94883,1.04245,0.94623,0.98639
89,4,775,0.97571,0.94728,0.94883,0.93468,0.93386,0.94306,1.04016,0.94011,0.97787
90,4,775,0.97489,0.95811,0.94306,0.94456,0.93191,0.95075,1.0347,0.94257,0.97528
91,4,775,0.97583,0.94772,0.95075,0.92955,0.93076,0.92602,1.03986,0.93427,0.97151
92,4,775,0.97354,0.94651,0.92602,0.92523,0.92064,0.93615,1.04174,0.92701,0.9657
93,4,775,0.9726,0.95603,0.93615,0.92583,0.92825,0.92889,1.03704,0.92978,0.96422
94,4,775,0.97244,0.95968,0.92889,0.9237,0.93951,0.9321,1.03516,0.93105,0.96378
95,4,775,0.963,0.9477,0.9321,0.9373,0.91595,0.92238,1.04677,0.92693,0.97029
96,4,775,0.97029,0.9544,0.92238,0.93864,0.93444,0.95653,1.03916,0.938,0.97474
97,4,775,0.97136,0.95495,0.95653,0.94167,0.93852,0.93337,1.03829,0.94252,0.97862
98,4,775,0.96881,0.95171,0.93337,0.9351,0.93585,0.95705,1.04143,0.94034,0.9793
99,4,775,0.96537,0.95519,0.95705,0.94763,0.94312,0.94677,1.04138,0.94864,0.9879
100,4,775,0.96772,0.95143,0.94677,0.94144,0.94462,0.94445,1.04217,0.94432,0.98414
101,4,775,0.95977,0.93344,0.94445,0.93838,0.94807,0.93885,1.05651,0.94244,0.99569
102,4,775,0.9659,0.93052,0.93885,0.94393,0.9339,0.93991,1.0548,0.93915,0.99061
103,4,775,0.97333,0.90418,0.93991,0.92293,0.93943,0.92213,1.06597,0.9311,0.99252
104,4,775,0.96882,0.91266,0.92213,0.93543,0.9342,0.92846,1.06346,0.93005,0.98908
105,4,775,0.97186,0.90857,0.92846,0.93668,0.9266,0.92498,1.06419,0.92918,0.98883
106,4,775,0.97235,0.91063,0.92498,0.93778,0.94181,0.92927,1.06272,0.93346,0.992
107,4,775,0.97781,0.90389,0.92927,0.92956,0.93261,0.92747,1.06369,0.92973,0.98894
108,4,775,0.97515,0.91043,0.92747,0.94229,0.94086,0.92092,1.06131,0.93288,0.99008
109,4,775,0.96689,0.92546,0.92092,0.95219,0.92698,0.92844,1.05714,0.93213,0.9854
110,4,775,0.96279,0.93332,0.92844,0.93967,0.95525,0.93311,1.05491,0.93912,0.99069
111,4,775,0.95873,0.94081,0.93311,0.94721,0.93541,0.94367,1.05293,0.93985,0.9896
112,4,775,0.95669,0.95893,0.94367,0.95305,0.93702,0.94985,1.04405,0.9459,0.98756
113,5,775,0.97573,0.96288,0.95786,0.9474,0.94297,0.94815,1.03169,0.94909,0.97917
114,5,775,0.97496,0.95416,0.94815,0.92991,0.9373,0.93412,1.0368,0.93737,0.97187
115,5,775,0.9754,0.95425,0.93412,0.93621,0.92994,0.94819,1.03652,0.93712,0.97134
116,5,775,0.97987,0.94659,0.94819,0.93342,0.93253,0.92852,1.03833,0.93566,0.97153
117,5,775,0.98057,0.94426,0.92852,0.9318,0.93398,0.94217,1.03924,0.93412,0.97077
118,5,775,0.97191,0.94848,0.94217,0.94005,0.92431,0.93535,1.04153,0.93547,0.97432
119,5,775,0.96634,0.95249,0.93535,0.92938,0.94164,0.95012,1.04233,0.93912,0.97887
120,5,775,0.97203,0.9533,0.95012,0.94368,0.93247,0.93784,1.03883,0.94103,0.97757
121,5,775,0.97556,0.9579,0.93784,0.94807,0.93717,0.95949,1.03446,0.94564,0.97823
122,5,775,0.97255,0.95966,0.95949,0.94593,0.94434,0.93804,1.03511,0.94695,0.98019
123,5,775,0.96727,0.9582,0.93804,0.93516,0.94326,0.95396,1.03872,0.94261,0.9791
124,5,775,0.96225,0.9449,0.95396,0.93831,0.94345,0.94341,1.04873,0.94478,0.99082
125,5,775,0.9723,0.93479,0.94341,0.95094,0.94198,0.94427,1.04892,0.94515,0.99139
126,5,775,0.9686,0.91924,0.94427,0.93798,0.94276,0.9397,1.05978,0.94118,0.99744
127,5,775,0.96899,0.9283,0.9397,0.93986,0.93928,0.94426,1.05438,0.94077,0.99193
128,5,775,0.97752,0.91861,0.94426,0.94577,0.94002,0.93589,1.05529,0.94149,0.99354
129,5,775,0.97391,0.92434,0.93589,0.94211,0.94782,0.9388,1.05396,0.94116,0.99194
130,5,775,0.97647,0.9147,0.9388,0.93496,0.94092,0.92848,1.05811,0.93579,0.99017
131,5,775,0.9731,0.91747,0.92848,0.95424,0.94416,0.93115,1.05834,0.93951,0.99432
132,5,775,0.97578,0.91778,0.93115,0.94099,0.94464,0.92892,1.05671,0.93643,0.98953
133,5,775,0.97118,0.92447,0.92892,0.94283,0.94807,0.92864,1.05537,0.93711,0.989
134,5,775,0.96758,0.93581,0.92864,0.96059,0.93864,0.9462,1.0509,0.94352,0.99155
135,5,775,0.96586,0.9526,0.9462,0.95597,0.9534,0.94677,1.04253,0.95058,0.99101
136,6,775,0.97541,0.96096,0.95176,0.94201,0.93913,0.94595,1.03289,0.94471,0.97578
137,6,775,0.97686,0.95218,0.94595,0.92856,0.93771,0.93448,1.03687,0.93668,0.97121
138,6,775,0.98098,0.94872,0.93448,0.94168,0.93762,0.94995,1.03658,0.94093,0.97535
139,6,775,0.97709,0.94169,0.94995,0.94327,0.9311,0.93575,1.04251,0.94002,0.97998
140,6,775,0.97448,0.94061,0.93575,0.93374,0.93523,0.95477,1.0445,0.93987,0.98169
141,6,775,0.97633,0.94694,0.95477,0.94407,0.93581,0.94514,1.04002,0.94495,0.98276
142,6,775,0.97233,0.95408,0.94514,0.93853,0.9415,0.95429,1.03825,0.94487,0.98101
143,6,775,0.97458,0.95624,0.95429,0.94529,0.93888,0.94114,1.03588,0.9449,0.9788
144,6,775,0.97231,0.96041,0.94114,0.94569,0.93875,0.95669,1.03483,0.94557,0.9785
145,6,775,0.96677,0.95225,0.95669,0.93564,0.94326,0.93877,1.04223,0.94359,0.98344
146,6,775,0.96979,0.94126,0.93877,0.94152,0.93877,0.94762,1.04667,0.94167,0.98561
147,6,775,0.96709,0.92847,0.94762,0.93578,0.9395,0.94023,1.05532,0.94078,0.99282
148,6,775,0.97207,0.93148,0.94023,0.94759,0.94441,0.95025,1.05091,0.94562,0.99376
149,6,775,0.97465,0.92862,0.95025,0.95143,0.94492,0.94524,1.05113,0.94796,0.99643
150,6,775,0.97272,0.93247,0.94524,0.94486,0.94649,0.94814,1.05,0.94619,0.99349
151,6,775,0.97943,0.91974,0.94814,0.94165,0.94947,0.93484,1.05361,0.94352,0.99411
152,6,775,0.97457,0.92563,0.93484,0.95747,0.94546,0.94096,1.05287,0.94468,0.99463
153,6,775,0.97484,0.92001,0.94096,0.94057,0.95151,0.92786,1.05593,0.94022,0.99281
154,6,775,0.97297,0.92096,0.92786,0.95514,0.94852,0.93641,1.0564,0.94198,0.99511
155,6,775,0.97475,0.92989,0.93641,0.95388,0.95149,0.94163,1.05036,0.94585,0.99349
156,6,775,0.97031,0.93776,0.94163,0.95541,0.95029,0.93747,1.04833,0.9462,0.99193
157,7,775,0.9809,0.95151,0.95073,0.94326,0.94335,0.94659,1.03509,0.94598,0.97918
158,7,775,0.9752,0.94458,0.94659,0.9359,0.93415,0.93928,1.04192,0.93898,0.97834
159,7,775,0.97684,0.94271,0.93928,0.94133,0.93762,0.95835,1.04208,0.94414,0.98387
160,7,775,0.978,0.94055,0.95835,0.94367,0.93737,0.94092,1.04265,0.94508,0.98539
161,7,775,0.97638,0.93891,0.94092,0.93941,0.9332,0.95593,1.04443,0.94237,0.98423
162,7,775,0.97736,0.94806,0.95593,0.94343,0.93868,0.94442,1.03886,0.94561,0.98236
163,7,775,0.97028,0.95389,0.94442,0.93694,0.93949,0.95148,1.03945,0.94308,0.98029
164,7,775,0.96884,0.94762,0.95148,0.9302,0.93824,0.9394,1.04365,0.93983,0.98085
165,7,775,0.97293,0.94446,0.9394,0.95117,0.93255,0.95255,1.0432,0.94392,0.98469
166,7,775,0.96887,0.93641,0.95255,0.93042,0.94012,0.93655,1.04987,0.93991,0.98678
167,7,775,0.96889,0.93482,0.93655,0.93704,0.94083,0.95101,1.05075,0.94136,0.98913
168,7,775,0.96992,0.93168,0.95101,0.94931,0.93952,0.94286,1.05196,0.94567,0.99481
169,7,775,0.97482,0.9319,0.94286,0.94902,0.94825,0.95292,1.04919,0.94826,0.9949
170,7,775,0.97589,0.92539,0.95292,0.94629,0.95086,0.94157,1.05229,0.94791,0.99748
171,7,775,0.97414,0.92939,0.94157,0.95844,0.94288,0.94866,1.05097,0.94789,0.99621
172,7,775,0.97701,0.92147,0.94866,0.94318,0.95673,0.93176,1.05393,0.94508,0.99605
173,7,775,0.97335,0.92441,0.93176,0.95636,0.94746,0.94261,1.05422,0.94455,0.99577
174,7,775,0.97395,0.92395,0.94261,0.948,0.95636,0.93588,1.05416,0.94571,0.99693
175,7,775,0.97109,0.92978,0.93588,0.96447,0.94668,0.94236,1.05239,0.94735,0.99698
176,8,775,0.97528,0.94458,0.9523,0.9406,0.94019,0.95442,1.04188,0.94688,0.98653
177,8,775,0.97671,0.9386,0.95442,0.93514,0.9376,0.94176,1.04442,0.94223,0.98408
178,8,775,0.97654,0.937,0.94176,0.94243,0.93417,0.9569,1.0454,0.94381,0.98667
179,8,775,0.9782,0.94148,0.9569,0.94301,0.93949,0.94094,1.04203,0.94508,0.9848
180,8,775,0.97571,0.94031,0.94094,0.93695,0.93233,0.95297,1.04401,0.9408,0.9822
181,8,775,0.97176,0.9339,0.95297,0.92579,0.93665,0.9399,1.04971,0.93883,0.9855
182,8,775,0.97118,0.9357,0.9399,0.9411,0.92857,0.94898,1.04901,0.93963,0.98569
183,8,775,0.96962,0.93157,0.94898,0.92241,0.93558,0.93647,1.05218,0.93586,0.9847
184,8,775,0.97103,0.93872,0.93647,0.94595,0.93055,0.95334,1.04741,0.94158,0.98621
185,8,775,0.97005,0.93611,0.95334,0.94348,0.93833,0.94107,1.0494,0.94405,0.99069
186,8,775,0.96902,0.93267,0.94107,0.93832,0.94475,0.95193,1.05189,0.94402,0.993
187,8,775,0.97102,0.92626,0.95193,0.94034,0.9441,0.93824,1.05444,0.94365,0.99502
188,8,775,0.97484,0.92604,0.93824,0.95959,0.94288,0.95253,1.05249,0.94831,0.99809
189,8,775,0.97464,0.92335,0.95253,0.94607,0.95768,0.93849,1.05414,0.94869,1.00005
190,8,775,0.97258,0.92674,0.93849,0.95855,0.94492,0.9482,1.05332,0.94754,0.99806
191,8,775,0.97551,0.926,0.9482,0.94991,0.95999,0.93887,1.05216,0.94924,0.99875
192,8,775,0.9713,0.93065,0.93887,0.96394,0.94553,0.94562,1.05179,0.94849,0.99761
193,9,775,0.97446,0.93634,0.95105,0.94015,0.93537,0.95207,1.04689,0.94466,0.98896
194,9,775,0.97571,0.93701,0.95207,0.93529,0.93837,0.94324,1.04584,0.94224,0.98544
195,9,775,0.97549,0.93643,0.94324,0.93987,0.932,0.95263,1.04629,0.94194,0.98553
196,9,775,0.97396,0.92998,0.95263,0.92534,0.93896,0.93619,1.05073,0.93828,0.98588
197,9,775,0.97486,0.92196,0.93619,0.93883,0.92133,0.95002,1.05481,0.93659,0.98792
198,9,775,0.97029,0.91462,0.95002,0.91563,0.92984,0.93544,1.06152,0.93273,0.99012
