Count,avg,ROI px,R1-R2,G1-G2,R1-G1,R1-G2,R2-G1,R2-G2,PCCcrtion,PCCmean,PCCcorrect
1,1,379,0.04302,0.08017,0.0427,-0.10551,0.0789,0.01567,17.02881,0.00794,0.13522
2,1,391,0.03588,-0.02973,0.04337,-0.01145,0.00594,0.06242,NaN,0.02507,NaN
3,1,392,0.0919,0.04054,0.01179,0.03867,-0.04713,0.03848,16.38419,0.01045,0.17126
4,1,418,0.0791,0.05303,0.00933,0.04545,-0.02399,0.05247,15.43982,0.02082,0.32141
5,1,392,-0.08167,0.13777,0.00989,0.0738,0.00579,0.01441,NaN,0.02598,NaN
6,1,412,0.03343,-0.01237,0.04903,0.05033,0.03281,0.11327,NaN,0.06136,NaN
7,1,396,-0.01484,0.02806,0.08349,-0.00283,0.04227,0.1325,NaN,0.06386,NaN
8,1,385,0.02265,0.02175,0.05109,0.10987,-0.01583,0.13687,45.05126,0.0705,3.17603
9,1,421,-0.02597,-0.00284,0.09872,-0.00421,0.05286,0.03587,116.51824,0.04581,5.33759
10,1,375,-0.08102,0.02032,0.04551,0.04417,0.08098,0.11306,NaN,0.07093,NaN
11,1,406,0.1122,0.07119,0.05614,0.05842,0.0146,0.09209,11.18889,0.05531,0.6189
12,1,392,0.03208,0.03646,0.09192,0.12003,0.06221,0.13933,29.23897,0.10337,3.02248
13,1,417,0.0773,0.08868,0.10365,0.0208,0.00715,0.01838,12.07829,0.03749,0.45286
14,1,391,-0.06153,0.03896,-0.01179,-0.06786,0.00646,0.05026,NaN,-0.00573,NaN
15,1,410,0.08402,0.16579,0.07842,0.05364,-0.00539,0.11486,8.47293,0.06038,0.51163
16,1,400,0.04966,0.08226,0.07539,-0.01436,0.07652,0.03054,15.64584,0.04202,0.65748
17,1,401,-0.00399,0.03795,0.0023,-0.02311,0.12792,0.0271,NaN,0.03355,NaN
18,1,405,0.02484,0.06813,0.06662,0.09533,0.0178,0.10018,24.3103,0.06998,1.70129
19,1,386,0.06782,0.0035,0.05057,-0.05139,0.09656,0.0463,64.90901,0.03551,2.30488
20,1,400,0.08816,0.03206,0.05103,0.0278,0.05554,0.00015,18.80925,0.03363,0.63257
21,1,388,0.04698,-0.02958,0.06155,0.00268,0.0929,0.01126,NaN,0.0421,NaN
22,1,384,0.09161,-0.03546,0.05926,-0.07561,0.12274,0.00296,NaN,0.02734,NaN
23,1,398,0.05323,0.04829,0.02657,0.03691,0.08995,0.02281,19.72221,0.04406,0.86894
24,1,410,0.08505,-0.01092,0.03819,0.09969,-0.00737,0.07412,NaN,0.05116,NaN
25,1,412,0.11173,0.03164,-0.02542,0.14242,0.11423,0.10425,16.81815,0.08387,1.41051
26,1,404,-0.01744,0.04251,0.07654,0.03969,0.08712,0.04513,NaN,0.06212,NaN
27,1,403,0.00791,0.05675,-0.01128,0.05722,0.03691,-0.06055,47.20427,0.00558,0.26331
28,1,377,-0.02115,0.05399,-0.04075,0.04652,0.04498,0.08773,NaN,0.03462,NaN
29,1,409,-0.02468,0.13214,0.03726,0.08551,0.0316,0.07358,NaN,0.05699,NaN
30,1,384,0.05347,0.01866,-0.0118,0.03218,0.05978,-0.0012,31.65825,0.01974,0.62499
31,1,369,-0.00534,0.0414,-0.01969,0.12685,0.04122,-0.02128,NaN,0.03178,NaN
32,2,541,0.10144,0.03601,-0.01583,0.06865,0.015,0.07677,16.5463,0.03615,0.59813
33,2,592,0.11309,0.06325,0.09103,0.03389,0.08277,0.07245,11.82353,0.07003,0.82806
34,2,569,0.04175,0.09798,0.0431,0.08616,0.03863,0.06211,15.63485,0.0575,0.89902
35,2,583,0.05716,0.06012,0.06671,0.1025,0.05443,0.10534,17.05845,0.08224,1.40295
36,2,574,0.07641,0.07265,0.07353,0.12843,0.08212,0.07712,13.42121,0.0903,1.21192
37,2,563,0.07613,0.00524,0.08556,0.09821,0.05586,0.20833,50.07852,0.11199,5.6084
38,2,574,0.03724,0.01261,0.20479,0.08796,0.09383,0.10857,46.15432,0.12379,5.71338
39,2,544,0.03079,0.06084,0.10189,0.09551,0.06046,0.1379,23.10294,0.09894,2.28584
40,2,582,0.09116,0.09132,0.13778,0.07401,0.09485,0.13343,10.96002,0.11002,1.20583
41,2,549,0.02567,0.09634,0.13647,0.11287,0.10324,0.15653,20.108,0.12728,2.55925
42,2,564,0.10461,0.1099,0.15023,0.09649,0.05604,0.11623,9.32641,0.10475,0.9769
43,2,561,0.03107,0.11302,0.13814,0.08812,0.08818,0.09737,16.87487,0.10295,1.7373
44,2,553,0.08974,0.14003,0.0742,0.08849,0.036,0.08718,8.92059,0.07147,0.63753
45,2,558,0.06034,0.11064,0.07417,-0.03461,0.13937,0.10922,12.2394,0.07204,0.88172
46,2,573,0.02587,0.15932,0.07553,0.09497,0.11722,0.12051,15.57589,0.10206,1.58964
47,2,558,0.05309,0.10291,0.06871,0.09317,0.02776,0.08991,13.52955,0.06989,0.94555
48,2,556,0.06159,0.10052,0.0659,0.01807,0.10891,0.08437,12.70857,0.06932,0.8809
49,2,576,0.09918,0.06286,0.06151,0.05212,-0.00889,0.02352,12.66504,0.03206,0.4061
50,2,553,0.06177,0.02376,0.07656,0.02334,0.03178,0.06798,26.10381,0.04991,1.30297
51,2,567,0.16232,-0.01901,0.0944,0.05543,0.07823,0.02595,NaN,0.0635,NaN
52,2,551,0.11673,0.02531,0.04289,0.03197,0.06272,0.07458,18.39595,0.05304,0.9757
53,2,564,0.13808,0.06543,0.04865,0.07705,0.09798,0.07943,10.52079,0.07578,0.79724
54,2,586,0.12878,0.0571,0.06653,0.106,0.12787,0.10502,11.66156,0.10136,1.18196
55,2,567,0.0959,0.04228,0.09057,0.101,0.08575,0.12696,15.70443,0.10107,1.58725
56,2,564,0.09177,0.0866,0.06182,0.13063,0.12123,0.07651,11.21736,0.09755,1.09423
57,2,551,0.01782,0.08006,0.03575,0.08236,0.08157,0.11257,26.47571,0.07806,2.06679
