Count,avg,ROI px,R1-R2,G1-G2,R1-G1,R1-G2,R2-G1,R2-G2,SRCcrtion,SRCmean,SRCcorrect
1,1,378,0.05029,0.08085,0.04252,-0.10079,0.0799,0.00587,15.68218,0.00688,0.10784
2,1,389,0.04409,-0.02743,0.0373,-0.01166,0.01459,0.06407,NaN,0.02607,NaN
3,1,388,0.09086,0.0385,0.00808,0.03818,-0.03404,0.04142,16.90696,0.01341,0.2267
4,1,404,0.08255,0.05753,0.00753,0.03602,-0.0304,0.05687,14.5113,0.01751,0.25403
5,1,388,-0.07742,0.1377,0.01099,0.07063,-0.00007,0.01598,NaN,0.02438,NaN
6,1,408,0.03073,-0.01618,0.04917,0.04467,0.03471,0.11272,NaN,0.06032,NaN
7,1,392,-0.01991,0.02919,0.08009,0.00335,0.04137,0.13598,NaN,0.06519,NaN
8,1,381,0.02263,0.01766,0.04447,0.10563,-0.01315,0.13698,50.0247,0.06848,3.42572
9,1,412,-0.02598,-0.00182,0.09378,-0.00098,0.07057,0.04491,145.62069,0.05207,7.5825
10,1,378,-0.07861,0.03075,0.0389,0.03846,0.09438,0.10448,NaN,0.06906,NaN
11,1,401,0.11283,0.07141,0.06814,0.06322,0.01351,0.08822,11.14081,0.05827,0.6492
12,1,387,0.02472,0.03677,0.08202,0.12102,0.05633,0.14199,33.17028,0.10034,3.32825
13,1,413,0.06703,0.0836,0.09898,0.01802,-0.00219,0.02464,13.35854,0.03486,0.46571
14,1,389,-0.06322,0.03697,-0.01412,-0.07052,0.00659,0.05175,NaN,-0.00658,NaN
15,1,406,0.0846,0.17314,0.08496,0.04382,-0.00158,0.11624,8.26274,0.06086,0.50288
16,1,397,0.04573,0.07927,0.07389,-0.01505,0.07396,0.02965,16.60824,0.04061,0.67443
17,1,399,-0.00564,0.03127,0.00411,-0.01964,0.12906,0.02843,NaN,0.03549,NaN
18,1,392,0.02459,0.07141,0.07176,0.09336,0.00819,0.10432,23.86593,0.06941,1.65652
19,1,380,0.06889,-0.00273,0.0535,-0.04486,0.09321,0.04675,NaN,0.03715,NaN
20,1,398,0.08815,0.03129,0.04956,0.02868,0.05379,-0.00096,19.04028,0.03277,0.62388
21,1,382,0.03809,-0.02704,0.05671,-0.00418,0.09194,0.00742,NaN,0.03797,NaN
22,1,385,0.09182,-0.03923,0.06234,-0.07878,0.1229,0.00255,NaN,0.02725,NaN
23,1,392,0.04504,0.05211,0.0271,0.02892,0.09598,0.0188,20.64008,0.0427,0.88137
24,1,401,0.07627,-0.00016,0.05394,0.08639,-0.00037,0.06827,NaN,0.05206,NaN
25,1,406,0.12118,0.04137,-0.02857,0.1498,0.1163,0.10226,14.12313,0.08495,1.19971
26,1,396,-0.0158,0.03558,0.07194,0.03497,0.09407,0.04909,NaN,0.06252,NaN
27,1,394,0.0134,0.05355,-0.01902,0.04425,0.047,-0.05936,37.33018,0.00322,0.12003
28,1,379,-0.02227,0.05537,-0.04313,0.04785,0.04864,0.09079,NaN,0.03604,NaN
29,1,410,-0.02809,0.13621,0.03851,0.08428,0.02952,0.06308,NaN,0.05385,NaN
30,1,384,0.05347,0.01866,-0.0118,0.03218,0.05978,-0.0012,31.65825,0.01974,0.62499
31,1,373,-0.00738,0.04862,-0.02819,0.11916,0.04575,-0.01848,NaN,0.02956,NaN
32,2,536,0.09708,0.03791,-0.02468,0.07117,0.01248,0.08082,16.48285,0.03495,0.57604
33,2,588,0.11949,0.06517,0.09426,0.04266,0.07598,0.06716,11.33231,0.07001,0.79342
34,2,563,0.04343,0.09866,0.04558,0.09169,0.03017,0.06154,15.27617,0.05725,0.8745
35,2,580,0.0551,0.06287,0.06373,0.10773,0.05276,0.10605,16.99048,0.08257,1.40286
36,2,567,0.0723,0.07498,0.06476,0.12629,0.07826,0.07657,13.58251,0.08647,1.17449
37,2,562,0.07673,0.00512,0.08434,0.09811,0.05614,0.20839,50.4557,0.11174,5.63813
38,2,565,0.04045,0.01145,0.20935,0.09491,0.08918,0.10847,46.46531,0.12548,5.83036
39,2,542,0.02994,0.06343,0.1048,0.09469,0.06144,0.13948,22.94472,0.1001,2.29677
40,2,571,0.08627,0.08212,0.13727,0.06814,0.08612,0.12551,11.88063,0.10426,1.23867
41,2,551,0.0325,0.10125,0.13335,0.11705,0.11286,0.15198,17.43335,0.12881,2.24558
42,2,563,0.1029,0.11153,0.14784,0.0978,0.05387,0.11731,9.33492,0.10421,0.97276
43,2,557,0.03062,0.10912,0.13372,0.08425,0.08906,0.09774,17.29912,0.1012,1.75059
44,2,559,0.08891,0.1461,0.07297,0.08552,0.04524,0.09091,8.77414,0.07366,0.64631
45,2,553,0.05835,0.10983,0.06854,-0.03946,0.14096,0.10988,12.49168,0.06998,0.87415
46,2,574,0.02503,0.16077,0.07206,0.09289,0.11778,0.12087,15.76321,0.1009,1.59052
47,2,555,0.05107,0.10007,0.06613,0.08961,0.02776,0.08994,13.98892,0.06836,0.95627
48,2,551,0.0586,0.10373,0.06216,0.01634,0.10802,0.08307,12.82622,0.0674,0.86446
49,2,569,0.10063,0.05965,0.05801,0.0552,-0.00986,0.0282,12.90711,0.03289,0.42451
50,2,546,0.05251,0.02386,0.0738,0.0207,0.0263,0.06719,28.25355,0.047,1.32796
51,2,565,0.16151,-0.01429,0.09434,0.05735,0.08372,0.02645,NaN,0.06547,NaN
52,2,548,0.11965,0.02743,0.03931,0.03571,0.06435,0.06728,17.45375,0.05166,0.90166
53,2,565,0.13625,0.06706,0.05023,0.07608,0.09862,0.07789,10.46173,0.0757,0.79199
54,2,583,0.12692,0.05965,0.06388,0.10799,0.12797,0.10491,11.4932,0.10119,1.16298
55,2,562,0.09601,0.04124,0.09229,0.09512,0.08813,0.127,15.89255,0.10063,1.59933
56,2,558,0.09499,0.08654,0.06383,0.13385,0.12193,0.0718,11.02962,0.09785,1.07928
57,2,553,0.0209,0.08094,0.03381,0.08626,0.08322,0.11513,24.31068,0.0796,1.93523
58,2,562,0.07345,0.0558,0.06862,0.05187,0.0719,0.02918,15.61964,0.05539,0.86523
59,2,533,0.02987,0.13263,0.00194,0.10377,0.11765,0.09331,15.88709,0.07917,1.25775
60,2,561,0.03752,0.05197,0.09889,0.09238,0.10465,0.09132,22.64679,0.09681,2.1924
61,3,645,0.12871,0.13853,0.04292,0.11145,0.06942,0.13769,7.48882,0.09037,0.67676
